Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
Label,
TIME,CH1
-8.396e-02,-1.12
-8.394e-02,-1.04
-8.392e-02,-1.04
-8.390e-02,-1.04
-8.388e-02,-0.96
-8.386e-02,-1.12
-8.384e-02,-0.8
-8.382e-02,-0.88
-8.380e-02,-0.64
-8.378e-02,-0.88
-8.376e-02,-0.64
-8.374e-02,-0.72
-8.372e-02,-0.48
-8.370e-02,-0.4
-8.368e-02,-0.64
-8.366e-02,-0.8
-8.364e-02,-0.64
-8.362e-02,-0.56
-8.360e-02,-0.64
-8.358e-02,-0.48
-8.356e-02,-0.48
-8.354e-02,-0.48
-8.352e-02,-0.48
-8.350e-02,-0.4
-8.348e-02,-0.24
-8.346e-02,-0.24
-8.344e-02,-0.16
-8.342e-02,-0.24
-8.340e-02,-0.4
-8.338e-02,-0.08
-8.336e-02,0
-8.334e-02,-0.08
-8.332e-02,-0.08
-8.330e-02,-0.16
-8.328e-02,0.08
-8.326e-02,0.08
-8.324e-02,0.08
-8.322e-02,0.08
-8.320e-02,0.08
-8.318e-02,0
-8.316e-02,0
-8.314e-02,0.24
-8.312e-02,-0.08
-8.310e-02,-1.52
-8.308e-02,-0.56
-8.306e-02,-0.64
-8.304e-02,-0.56
-8.302e-02,0.08
-8.300e-02,0.64
-8.298e-02,0.8
-8.296e-02,0.48
-8.294e-02,0.64
-8.292e-02,0.72
-8.290e-02,0.88
-8.288e-02,0.88
-8.286e-02,1.28
-8.284e-02,1.44
-8.282e-02,1.76
-8.280e-02,1.44
-8.278e-02,-0.24
-8.276e-02,0.08
-8.274e-02,0
-8.272e-02,0.64
-8.270e-02,0.32
-8.268e-02,0.64
-8.266e-02,0.8
-8.264e-02,0.72
-8.262e-02,0.48
-8.260e-02,0.4
-8.258e-02,0.56
-8.256e-02,0.64
-8.254e-02,0.72
-8.252e-02,0.64
-8.250e-02,0.72
-8.248e-02,0.8
-8.246e-02,0.88
-8.244e-02,0.88
-8.242e-02,0.96
-8.240e-02,0.88
-8.238e-02,0.96
-8.236e-02,1.04
-8.234e-02,1.04
-8.232e-02,0.96
-8.230e-02,0.96
-8.228e-02,1.04
-8.226e-02,1.04
-8.224e-02,1.2
-8.222e-02,1.04
-8.220e-02,1.2
-8.218e-02,1.28
-8.216e-02,1.36
-8.214e-02,1.36
-8.212e-02,1.28
-8.210e-02,1.36
-8.208e-02,1.36
-8.206e-02,1.36
-8.204e-02,1.6
-8.202e-02,1.44
-8.200e-02,1.68
-8.198e-02,1.6
-8.196e-02,1.6
-8.194e-02,1.52
-8.192e-02,1.6
-8.190e-02,1.68
-8.188e-02,1.76
-8.186e-02,1.76
-8.184e-02,1.76
-8.182e-02,1.92
-8.180e-02,1.76
-8.178e-02,2
-8.176e-02,2
-8.174e-02,1.92
-8.172e-02,1.92
-8.170e-02,2
-8.168e-02,2
-8.166e-02,1.76
-8.164e-02,1.92
-8.162e-02,2
-8.160e-02,2.32
-8.158e-02,2.32
-8.156e-02,2.4
-8.154e-02,2.4
-8.152e-02,2.32
-8.150e-02,2.08
-8.148e-02,2.24
-8.146e-02,2.24
-8.144e-02,2.32
-8.142e-02,2.32
-8.140e-02,2.32
-8.138e-02,2.48
-8.136e-02,2.4
-8.134e-02,2.4
-8.132e-02,2.48
-8.130e-02,2.56
-8.128e-02,2.56
-8.126e-02,2.48
-8.124e-02,2.56
-8.122e-02,2.56
-8.120e-02,2.64
-8.118e-02,2.8
-8.116e-02,2.8
-8.114e-02,2.88
-8.112e-02,2.64
-8.110e-02,2.88
-8.108e-02,2.88
-8.106e-02,2.8
-8.104e-02,2.72
-8.102e-02,2.96
-8.100e-02,2.96
-8.098e-02,3.04
-8.096e-02,3.12
-8.094e-02,2.96
-8.092e-02,3.12
-8.090e-02,3.2
-8.088e-02,3.04
-8.086e-02,3.12
-8.084e-02,3.12
-8.082e-02,3.28
-8.080e-02,3.2
-8.078e-02,3.12
-8.076e-02,3.36
-8.074e-02,3.12
-8.072e-02,3.28
-8.070e-02,3.36
-8.068e-02,3.44
-8.066e-02,3.44
-8.064e-02,3.2
-8.062e-02,3.28
-8.060e-02,3.36
-8.058e-02,3.52
-8.056e-02,3.44
-8.054e-02,3.6
-8.052e-02,3.52
-8.050e-02,3.52
-8.048e-02,3.44
-8.046e-02,3.6
-8.044e-02,3.6
-8.042e-02,3.76
-8.040e-02,3.76
-8.038e-02,3.76
-8.036e-02,3.76
-8.034e-02,3.84
-8.032e-02,3.68
-8.030e-02,3.76
-8.028e-02,3.84
-8.026e-02,4
-8.024e-02,3.84
-8.022e-02,3.76
-8.020e-02,3.68
-8.018e-02,3.92
-8.016e-02,3.76
-8.014e-02,3.68
-8.012e-02,3.84
-8.010e-02,4
-8.008e-02,4.08
-8.006e-02,3.92
-8.004e-02,3.68
-8.002e-02,3.76
-8.000e-02,3.84
-7.998e-02,3.92
-7.996e-02,3.92
-7.994e-02,3.92
-7.992e-02,3.84
-7.990e-02,3.92
-7.988e-02,3.84
-7.986e-02,3.84
-7.984e-02,4
-7.982e-02,3.92
-7.980e-02,3.84
-7.978e-02,3.92
-7.976e-02,4.16
-7.974e-02,4
-7.972e-02,3.84
-7.970e-02,3.84
-7.968e-02,3.84
-7.966e-02,3.84
-7.964e-02,3.92
-7.962e-02,4
-7.960e-02,3.84
-7.958e-02,4
-7.956e-02,4
-7.954e-02,4
-7.952e-02,3.92
-7.950e-02,3.92
-7.948e-02,4
-7.946e-02,3.92
-7.944e-02,4.08
-7.942e-02,3.92
-7.940e-02,4
-7.938e-02,3.84
-7.936e-02,3.92
-7.934e-02,4
-7.932e-02,3.92
-7.930e-02,4
-7.928e-02,4.16
-7.926e-02,4.24
-7.924e-02,4.08
-7.922e-02,3.92
-7.920e-02,3.84
-7.918e-02,3.92
-7.916e-02,4.16
-7.914e-02,4
-7.912e-02,4
-7.910e-02,4
-7.908e-02,3.84
-7.906e-02,3.76
-7.904e-02,3.84
-7.902e-02,3.92
-7.900e-02,4.08
-7.898e-02,4.16
-7.896e-02,3.84
-7.894e-02,3.92
-7.892e-02,3.92
-7.890e-02,3.92
-7.888e-02,4
-7.886e-02,4.24
-7.884e-02,4.08
-7.882e-02,3.92
-7.880e-02,4
-7.878e-02,4
-7.876e-02,3.92
